2014-10-09_(Thu)_17.04.53__RAW__f8.0...T1_3..105mm100.JPG	>  (0)  (1) 
2014-10-09_(Thu)_17.04.56__RAW__f8.0...T1_13..105mm100.JPG	> <-2.0 (1)  / 3.0s > 	THE SAME CLUSTER? (2) 
2014-10-09_(Thu)_17.05.01__RAW__f8.0...T1_1..105mm100.JPG	> < 4.1 (2)  / 5.0s > 	THE SAME CLUSTER! (0) 
2014-10-09_(Thu)_17.13.29__RAW__f8.0...T1_4..105mm100.JPG	> <-2.4 (0)  / 508.0s > 	##### NEW? (long interval) (1) 
2014-10-09_(Thu)_17.13.33__RAW__f8.0...T1_15..105mm100.JPG	> <-1.9 (1)  / 4.0s > 	THE SAME CLUSTER? (2) 
2014-10-09_(Thu)_17.13.36__RAW__f8.0...T1_1..105mm100.JPG	> < 3.9 (2)  / 3.0s > 	THE SAME CLUSTER! (0) 
2014-10-09_(Thu)_17.14.03__RAW__f8.0...T1_4..105mm100.JPG	> <-2.0 (0)  / 27.0s > 		#### NEW? (soon after prev.) (1) 
2014-10-09_(Thu)_17.15.31__RAW__f8.0...T1_3..105mm100.JPG	> < 0.7 (1)  / 88.0s > 		#### NEW? ------------ Unexpected condition before! Singlet? (1) (1) 
2014-10-09_(Thu)_17.15.33__RAW__f8.0...T1_10..105mm100.JPG	> <-2.0 (1)  / 2.0s > 	THE SAME CLUSTER? (2) 
2014-10-09_(Thu)_17.15.35__RAW__f8.0...T1_1..105mm100.JPG	> < 4.0 (2)  / 2.0s > 	THE SAME CLUSTER! (0) 
2014-10-09_(Thu)_17.17.46__RAW__f8.0...T1_0..105mm100.JPG	> < 3.2 (0)  / 131.0s > 	##### NEW? (long interval) (1) 
test3-fullEXIF.jpg	> <-1.3 (1)  / -55040289.0s > 	##### NEW? (long interval) (1) 
test_001.jpg	> <-4.3 (1)  / 55039516.0s > 	##### NEW? (long interval) (1) 
test_002.jpg	> <-2.0 (1)  / 3.0s > 	THE SAME CLUSTER? (2) 
test_003.jpg	> < 4.1 (2)  / 5.0s > 	THE SAME CLUSTER! (0) 
